PERFILES DEL AISC,,,,,,(PARA VERIFICAR PROPIEDADES),,,,,,,,,,,,,,
68,1,1,SECCIÓN: ÁNGULOS DE LADOS IGUALES               MATERIAL: STD-A36 (NONES) y A572-G50 (PARES),,,,,,,,,,,,,,,,,
,E = 2.039E+06,,,,G = 7.842E+05,,G = 7.850E-03,,FY = 2.530E+03 y 3.515E+03 kg/cm2,,,,,,,,,,,
NP,CS,CM,DIM 1,DIM 2,ESP,RCI,PESO,AREA,RX,RY,RZ,RW,IX,IY,IZ,IW,XC,YC,QS,
,,,cm,cm,cm,cm,kg,cm2,,,,,,,,,,,,
1,1,1,3.810,3.810,0.3969,0.4763,2.250,2.867,1.171,1.171,0.7482,1.477,3.928E+00,3.928E+00,1.605E+00,6.251E+00,1.099,1.099,1.0000,
2,1,2,3.810,3.810,0.3969,0.4763,2.250,2.867,1.171,1.171,0.7482,1.477,3.928E+00,3.928E+00,1.605E+00,6.251E+00,1.099,1.099,1.0000,
3,1,1,4.445,4.445,0.3969,0.7938,2.646,3.371,1.375,1.375,0.8762,1.736,6.371E+00,6.371E+00,2.588E+00,1.015E+01,1.258,1.258,1.0000,
4,1,2,4.445,4.445,0.3969,0.7938,2.646,3.371,1.375,1.375,0.8762,1.736,6.371E+00,6.371E+00,2.588E+00,1.015E+01,1.258,1.258,1.0000,
5,1,1,3.810,3.810,0.4763,0.4763,2.671,3.402,1.160,1.160,0.7451,1.461,4.578E+00,4.578E+00,1.889E+00,7.267E+00,1.127,1.127,1.0000,
6,1,2,3.810,3.810,0.4763,0.4763,2.671,3.402,1.160,1.160,0.7451,1.461,4.578E+00,4.578E+00,1.889E+00,7.267E+00,1.127,1.127,1.0000,
7,1,1,5.080,5.080,0.3969,0.7938,3.042,3.875,1.579,1.579,1.0046,1.995,9.663E+00,9.663E+00,3.911E+00,1.541E+01,1.417,1.417,1.0000,
8,1,2,5.080,5.080,0.3969,0.7938,3.042,3.875,1.579,1.579,1.0046,1.995,9.663E+00,9.663E+00,3.911E+00,1.541E+01,1.417,1.417,1.0000,
9,1,1,4.445,4.445,0.4763,0.6350,3.146,4.007,1.364,1.364,0.8724,1.720,7.453E+00,7.453E+00,3.049E+00,1.186E+01,1.286,1.286,1.0000,
10,1,2,4.445,4.445,0.4763,0.6350,3.146,4.007,1.364,1.364,0.8724,1.720,7.453E+00,7.453E+00,3.049E+00,1.186E+01,1.286,1.286,1.0000,
11,1,1,5.080,5.080,0.4763,0.7938,3.620,4.612,1.568,1.568,1.0002,1.979,1.134E+01,1.134E+01,4.614E+00,1.806E+01,1.446,1.446,1.0000,
12,1,2,5.080,5.080,0.4763,0.7938,3.620,4.612,1.568,1.568,1.0002,1.979,1.134E+01,1.134E+01,4.614E+00,1.806E+01,1.446,1.446,1.0000,
13,1,1,6.350,6.350,0.3969,0.6350,3.833,4.883,1.988,1.988,1.2622,2.513,1.930E+01,1.930E+01,7.779E+00,3.083E+01,1.735,1.735,0.9971,
14,1,2,6.350,6.350,0.3969,0.6350,3.833,4.883,1.988,1.988,1.2622,2.513,1.930E+01,1.930E+01,7.779E+00,3.083E+01,1.735,1.735,0.8756,
15,1,1,6.350,6.350,0.4763,0.7938,4.570,5.822,1.977,1.977,1.2570,2.497,2.275E+01,2.275E+01,9.199E+00,3.630E+01,1.764,1.764,1.0000,
16,1,2,6.350,6.350,0.4763,0.7938,4.570,5.822,1.977,1.977,1.2570,2.497,2.275E+01,2.275E+01,9.199E+00,3.630E+01,1.764,1.764,1.0000,
17,1,1,5.080,5.080,0.6350,0.7938,4.748,6.048,1.547,1.547,0.9935,1.949,1.447E+01,1.447E+01,5.970E+00,2.297E+01,1.503,1.503,1.0000,
18,1,2,5.080,5.080,0.6350,0.7938,4.748,6.048,1.547,1.547,0.9935,1.949,1.447E+01,1.447E+01,5.970E+00,2.297E+01,1.503,1.503,1.0000,
19,1,1,7.620,7.620,0.4763,0.7938,5.520,7.031,2.386,2.386,1.5146,3.015,4.003E+01,4.003E+01,1.613E+01,6.392E+01,2.082,2.082,1.0000,
20,1,2,7.620,7.620,0.4763,0.7938,5.520,7.031,2.386,2.386,1.5146,3.015,4.003E+01,4.003E+01,1.613E+01,6.392E+01,2.082,2.082,0.8795,
21,1,1,6.350,6.350,0.6350,0.7938,6.014,7.661,1.955,1.955,1.2483,2.466,2.927E+01,2.927E+01,1.194E+01,4.660E+01,1.821,1.821,1.0000,
22,1,2,6.350,6.350,0.6350,0.7938,6.014,7.661,1.955,1.955,1.2483,2.466,2.927E+01,2.927E+01,1.194E+01,4.660E+01,1.821,1.821,1.0000,
23,1,1,7.620,7.620,0.6350,0.7938,7.280,9.274,2.363,2.363,1.5046,2.984,5.179E+01,5.179E+01,2.100E+01,8.258E+01,2.140,2.140,1.0000,
24,1,2,7.620,7.620,0.6350,0.7938,7.280,9.274,2.363,2.363,1.5046,2.984,5.179E+01,5.179E+01,2.100E+01,8.258E+01,2.140,2.140,1.0000,
25,1,1,8.890,8.890,0.6350,0.9525,8.546,10.887,2.772,2.772,1.7618,3.502,8.366E+01,8.366E+01,3.379E+01,1.335E+02,2.458,2.458,1.0000,
26,1,2,8.890,8.890,0.6350,0.9525,8.546,10.887,2.772,2.772,1.7618,3.502,8.366E+01,8.366E+01,3.379E+01,1.335E+02,2.458,2.458,0.9892,
27,1,1,7.620,7.620,0.7938,0.7938,9.001,11.467,2.341,2.341,1.4965,2.953,6.285E+01,6.285E+01,2.568E+01,1.000E+02,2.197,2.197,1.0000,
28,1,2,7.620,7.620,0.7938,0.7938,9.001,11.467,2.341,2.341,1.4965,2.953,6.285E+01,6.285E+01,2.568E+01,1.000E+02,2.197,2.197,1.0000,
29,1,1,10.160,10.160,0.635000,0.9525,9.812,12.500,3.181,3.181,2.0195,4.020,1.265E+02,1.265E+02,5.098E+01,2.020E+02,2.776,2.776,0.9920,27.75564516
30,1,2,10.160,10.160,0.6350,0.9525,9.812,12.500,3.181,3.181,2.0195,4.020,1.265E+02,1.265E+02,5.098E+01,2.020E+02,2.776,2.776,0.8696,
31,1,1,8.890,8.890,0.7938,0.9525,10.584,13.483,2.750,2.750,1.7525,3.471,1.019E+02,1.019E+02,4.141E+01,1.624E+02,2.516,2.516,1.0000,
32,1,2,8.890,8.890,0.7938,0.9525,10.584,13.483,2.750,2.750,1.7525,3.471,1.019E+02,1.019E+02,4.141E+01,1.624E+02,2.516,2.516,1.0000,
33,1,1,7.620,7.620,0.9525,0.7938,10.683,13.609,2.320,2.320,1.4902,2.923,7.324E+01,7.324E+01,3.022E+01,1.163E+02,2.254,2.254,1.0000,
34,1,2,7.620,7.620,0.9525,0.7938,10.683,13.609,2.320,2.320,1.4902,2.923,7.324E+01,7.324E+01,3.022E+01,1.163E+02,2.254,2.254,1.0000,
35,1,1,10.160,10.160,0.7938,0.9525,12.167,15.499,3.158,3.158,2.0093,3.989,1.546E+02,1.546E+02,6.257E+01,2.466E+02,2.83362,2.83362,1.0000,28.33622967
36,1,2,10.160,10.160,0.7938,0.9525,12.167,15.499,3.158,3.158,2.0093,3.989,1.546E+02,1.546E+02,6.257E+01,2.466E+02,2.834,2.834,1.0000,
37,1,1,7.620,7.620,1.2700,0.7938,13.927,17.742,2.280,2.280,1.4834,2.863,9.225E+01,9.225E+01,3.904E+01,1.455E+02,2.367,2.367,1.0000,
38,1,2,7.620,7.620,1.2700,0.7938,13.927,17.742,2.280,2.280,1.4834,2.863,9.225E+01,9.225E+01,3.904E+01,1.455E+02,2.367,2.367,1.0000,
39,1,1,10.160,10.160,0.9525,0.9525,14.481,18.448,3.136,3.136,2.0004,3.958,1.814E+02,1.814E+02,7.382E+01,2.890E+02,2.891,2.891,1.0000,
40,1,2,10.160,10.160,0.9525,0.9525,14.481,18.448,3.136,3.136,2.0004,3.958,1.814E+02,1.814E+02,7.382E+01,2.890E+02,2.891,2.891,1.0000,
41,1,1,12.700,12.700,0.7938,1.2700,15.332,19.531,3.977,3.977,2.5244,5.025,3.089E+02,3.089E+02,1.245E+02,4.932E+02,3.469,3.469,0.9971,
42,1,2,12.700,12.700,0.7938,1.2700,15.332,19.531,3.977,3.977,2.5244,5.025,3.089E+02,3.089E+02,1.245E+02,4.932E+02,3.469,3.469,0.8756,
43,1,1,10.160,10.160,1.1113,0.9525,16.756,21.346,3.114,3.114,1.9930,3.928,2.070E+02,2.070E+02,8.479E+01,3.293E+02,2.949,2.949,1.0000,
44,1,2,10.160,10.160,1.1113,0.9525,16.756,21.346,3.114,3.114,1.9930,3.928,2.070E+02,2.070E+02,8.479E+01,3.293E+02,2.949,2.949,1.0000,
45,1,1,12.700,12.700,0.9525,1.2700,18.280,23.286,3.954,3.954,2.5140,4.994,3.640E+02,3.640E+02,1.472E+02,5.808E+02,3.528,3.528,1.0000,
46,1,2,12.700,12.700,0.9525,1.2700,18.280,23.286,3.954,3.954,2.5140,4.994,3.640E+02,3.640E+02,1.472E+02,5.808E+02,3.528,3.528,1.0000,
47,1,1,10.160,10.160,1.2700,0.9525,18.992,24.194,3.093,3.093,1.9870,3.897,2.315E+02,2.315E+02,9.552E+01,3.675E+02,3.006,3.006,1.0000,30.05666667
48,1,2,10.160,10.160,1.2700,0.9525,18.992,24.194,3.093,3.093,1.9870,3.897,2.315E+02,2.315E+02,9.552E+01,3.675E+02,3.006,3.006,1.0000,
49,1,1,12.700,12.700,1.1113,1.2700,21.188,26.991,3.931,3.931,2.5048,4.963,4.171E+02,4.171E+02,1.693E+02,6.649E+02,3.585,3.585,1.0000,
50,1,2,12.700,12.700,1.1113,1.2700,21.188,26.991,3.931,3.931,2.5048,4.963,4.171E+02,4.171E+02,1.693E+02,6.649E+02,3.585,3.585,1.0000,
51,1,1,15.240,15.240,0.9525,1.2700,22.078,28.125,4.772,4.772,3.0293,6.030,6.404E+02,6.404E+02,2.581E+02,1.023E+03,4.163,4.163,0.9835,
52,1,2,15.240,15.240,0.9525,1.2700,22.078,28.125,4.772,4.772,3.0293,6.030,6.404E+02,6.404E+02,2.581E+02,1.023E+03,4.163,4.163,0.8596,
53,1,1,10.160,10.160,1.5875,0.9525,23.344,29.738,3.053,3.053,1.9792,3.837,2.772E+02,2.772E+02,1.165E+02,4.379E+02,3.118,3.118,1.0000,A36
54,1,2,10.160,10.160,1.5875,0.9525,23.344,29.738,3.053,3.053,1.9792,3.837,2.772E+02,2.772E+02,1.165E+02,4.379E+02,3.118,3.118,1.0000,G50
55,1,1,12.700,12.700,1.2700,1.2700,24.056,30.645,3.909,3.909,2.4966,4.932,4.683E+02,4.683E+02,1.910E+02,7.455E+02,3.643,3.643,1.0000,36.429
56,1,2,12.700,12.700,1.2700,1.2700,24.056,30.645,3.909,3.909,2.4966,4.932,4.683E+02,4.683E+02,1.910E+02,7.455E+02,3.643,3.643,1.0000,
57,1,1,15.240,15.240,1.1113,1.2700,25.619,32.636,4.749,4.749,3.0188,5.999,7.360E+02,7.360E+02,2.974E+02,1.175E+03,4.221,4.221,1.0000,
58,1,2,15.240,15.240,1.1113,1.2700,25.619,32.636,4.749,4.749,3.0188,5.999,7.360E+02,7.360E+02,2.974E+02,1.175E+03,4.221,4.221,0.9849,
59,1,1,15.240,15.240,1.2700,1.2700,29.121,37.097,4.726,4.726,3.0093,5.968,8.286E+02,8.286E+02,3.359E+02,1.321E+03,4.279,4.279,1.0000,
60,1,2,15.240,15.240,1.2700,1.2700,29.121,37.097,4.726,4.726,3.0093,5.968,8.286E+02,8.286E+02,3.359E+02,1.321E+03,4.279,4.279,1.0000,
61,1,1,15.240,15.240,1.5875,1.2700,36.005,45.867,4.682,4.682,2.9930,5.907,1.006E+03,1.006E+03,4.109E+02,1.600E+03,4.3944093,4.394,1.0000,
62,1,2,15.240,15.240,1.5875,1.2700,36.005,45.867,4.682,4.682,2.9930,5.907,1.006E+03,1.006E+03,4.109E+02,1.600E+03,4.394,4.394,1.0000,
63,1,1,15.240,15.240,1.9050,1.2700,42.732,54.435,4.640,4.640,2.9804,5.846,1.172E+03,1.172E+03,4.836E+02,1.860E+03,4.509,4.509,1.0000,A36
64,1,2,15.240,15.240,1.9050,1.2700,42.732,54.435,4.640,4.640,2.9804,5.846,1.172E+03,1.172E+03,4.836E+02,1.860E+03,4.509,4.509,1.0000,G50
65,1,1,20.320,20.320,1.9050,1.5875,57.925,73.790,6.272,6.272,4.0009,7.916,2.903E+03,2.903E+03,1.181E+03,4.624E+03,5.783,5.783,1.0000,
66,1,2,20.320,20.320,1.9050,1.5875,57.925,73.790,6.272,6.272,4.0009,7.916,2.903E+03,2.903E+03,1.181E+03,4.624E+03,5.782664,5.783,1.0000,
67,1,1,20.320,20.320,2.2225,1.5875,67.026,85.383,6.229,6.229,3.9860,7.855,3.312E+03,3.312E+03,1.357E+03,5.268E+03,5.897,5.897,1.0000,
68,1,2,20.320,20.320,2.2225,1.5875,67.026,85.383,6.229,6.229,3.9860,7.855,3.312E+03,3.312E+03,1.357E+03,5.268E+03,5.897,5.897,1.0000,
,,,,,,,,,,,,,,,,,,,,
,,,,,0.3125,,,,,,,,,,,,,,,
,,,,,7.9375,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
