Varillas lisas existentes en el mercado,,,,,Espesores de placa,,,
,pulg.,mm,,,,pulg.,cm,
,3/8,9.525,,,,  1/8 ,0.3175,
,1/2,12.7,,,,  1/4 ,0.635,
,5/8,15.875,,,,  3/8 ,0.9525,
,3/4,19.05,,,,  1/2 ,1.27,
,1,25.4,,,,  5/8 ,1.5875,
,1 1/4,31.75,,,,  3/4 ,1.905,
,1 1/2 ,38.1,,,,  7/8 ,2.2225,
,,,,,,1      ,2.54,
,,,,,,1  1/8 ,2.8575,
,"Ancla, lista desplegable, mostrar pulgadas",,,,,1  1/4 ,3.175,
,,,,,,1  3/8 ,3.4925,
,,,,,,1  1/2 ,3.81,
,,,,,,1  5/8 ,4.1275,
,,,,,,1  3/4 ,4.445,
,,,,,,1  7/8 ,4.7625,
,,,,,,2      ,5.08,
,,,,,,2  1/8 ,5.3975,
,,,,,,2  1/4 ,5.715,
,,,,,,2  3/8 ,6.0325,
,,,,,,2  1/2 ,6.35,
